File Type,File size(in KB),Battery percentage,Available RAM (In GB),CPU frequency in MHZ,Total Execution Time(in sec)
0,2.37,42,1.61,482,0.54
0,2.37,42,1.85,248,0.79
0,9.2,41,1.58,586,0.6
0,9.2,41,1.81,248,0.55
0,72.79,41,1.61,248,0.79
0,26.3,55,1.46,248,0.55
0,26.3,56,1.92,586,0.8
0,416,56,2.01,248,0.99
0,416,57,1.75,352,1.85
0,416,58,1.51,248,1.98
0,26.3,54,1.66,482,0.75
0,26.3,12,0.64295,350,0.59
0,26.3,11,0.70878,350,0.92
0,26.29,11,0.71398,350,0.72
0,416,11,0.72249,350,0.66
0,416,11,0.63345,350,0.72
0,416,10,0.81317,350,0.65
0,416,4,0.70321,350,0.86
0,52.7,48,1.6,586,0.66
0,52.7,48,1.87,482,0.73
0,52.7,5,0.728,350,0.98
0,32.9,5,0.80849,350,0.78
0,32.9,6,0.77807,350,0.91
0,32.9,48,1.69,586,0.73
0,32.9,47,1.77,14,0.73
0,32.9,46,1.52,482,0.67
0,51.4,45,1.96,248,0.61
0,3.91,45,1.66,482,0.6
0,3.91,44,1.92,248,0.67
0,44.5,43,1.82,586,0.54
0,44.5,7,0.76348,350,0.78
0,44.5,43,1.71,248,0.8
0,72.8,40,1.91,586,0.68
0,47.6,39,1.55,248,1.05
0,47.6,39,1.92,248,0.93
0,49.4,39,1.86,586,0.67
0,49.4,39,1.53,482,0.68
0,54.5,38,1.64,482,0.66
0,54.5,38,1.82,248,0.98
0,59.7,38,1.65,586,0.72
0,59.7,38,1.91,248,0.99
0,62.5,38,1.86,248,1.18
0,62.5,39,1.54,482,0.67
0,67.399,39,1.77,586,0.66
0,67.4,39,1.88,248,1.19
0,7.47,39,1.86,482,0.81
0,7.47,39,1.58,248,0.74
0,79.5,40,1.52,482,0.67
0,79.5,39,1.84,248,0.74
0,83.3,29,1.76,248,0.74
0,83.3,29,1.51,586,0.6
0,88.3,29,1.64,248,0.74
0,88.3,29,1.6,482,0.67
0,93.1,30,1.69,482,0.6
0,93.1,30,1.58,248,0.73
0,103,31,1.69,248,0.8
0,103,31,1.71,352,0.93
0,99.1,32,189,248,0.68
0,99.1,32,1.58,352,0.66
0,109,33,1.72,586,0.67
0,109,33,1.7,248,0.86
0,109.14,33,1.77,482,0.6
0,109.14,33,1.58,248,0.79
0,231,34,1.67,248,0.79
0,231,34,1.89,248,0.54
0,231,34,1.45,248,1
0,119,34,1.56,482,0.86
0,119,35,1.44,482,0.8
0,125,35,1.59,482,0.67
0,125,35,1.72,248,0.8
0,128,52,1.59,482,0.73
0,128,52,1.92,352,0.8
0,133,54,1.71,248,0.92
0,133,54,1.62,482,0.79
0,139,54,1.53,352,0.74
0,139,54,1.83,482,0.53
0,145,55,1.83,352,0.87
0,145,55,1.59,248,0.99
0,149,55,1.62,352,0.85
0,149,55,1.76,482,0.8
0,153,13,0.74767,350,0.72
0,153,13,0.8074,350,1.17
0,157,14,0.82254,350,0.78
0,157,14,0.77182,350,0.73
0,162,14,0.7786,350,0.85
0,162,14,0.77348,350,0.72
0,168,15,0.76968,350,0.72
0,168,15,0.78222,350,0.85
0,172,16,0.78619,350,0.72
0,172,16,0.78019,350,0.59
0,178,52,1.62,586,0.67
0,178,52,1.55,586,0.87
0,184,52,1.66,586,0.86
0,184,52,1.66,248,0.79
0,189,52,1.75,482,0.54
0,189,54,1.52,248,0.79
0,194,54,1.49,482,0.8
0,194,54,1.79,248,0.74
0,200,54,1.74,482,0.87
0,200,54,1.56,248,0.93
0,204,54,1.61,248,0.79
0,204,54,1.83,352,0.93
0,209,55,1.8,586,0.47
0,209,55,1.6,248,0.98
0,213,55,1.69,586,0.73
0,213,55,1.8,482,0.53
0,218,56,1.82,482,0.54
0,218,56,1.64,482,0.59
0,224.875,56,1.76,352,0.99
0,224.875,56,1.46,482,0.6
0,229,63,1.67,586,0.66
0,229,63,1.84,248,0.92
0,234,64,1.76,586,0.6
0,234,64,1.55,482,0.72
0,239,64,1.64,586,0.47
0,239,64,1.87,482,0.79
0,244,64,1.82,482,0.74
0,244,65,1.47,248,0.53
0,248,65,1.97,482,0.73
0,248,65,1.61,352,0.53
0,257,15,0.7694,350,1.2
0,257,15,0.79992,350,1.17
0,253,15,0.78818,350,0.52
0,253,17,0.81421,350,0.85
0,264,17,0.8078,350,1.24
0,264,17,0.71955,350,0.99
0,268,18,0.74427,350,0.85
0,268,18,0.80983,350,0.6
0,274,19,0.79937,350,0.78
0,274,19,0.75845,350,0.65
0,280,64,1.67,586,0.61
0,280,64,1.93,248,0.87
0,286,64,1.85,482,0.6
0,286,64,1.62,248,0.53
0,292,64,1.68,586,0.53
0,292,64,1.62,248,1.07
0,299,65,1.74,586,0.85
0,299,65,1.65,586,0.79
0,310,65,1.64,586,0.85
0,310,65,1.72,248,0.8
0,313,18,0.74058,350,0.67
0,313,19,0.77545,350,0.65
0,320,19,0.77891,350,0.72
0,320,19,0.75499,350,0.72
0,327,20,0.74797,350,0.65
0,327,20,0.77987,350,0.91
0,334,21,0.77594,350,0.58
0,334,21,0.75367,350,0.72
0,339,21,0.75862,350,0.59
0,339,22,0.79783,350,0.66
